1951.08,5875
1951.1,6082
1951.12,7514
1951.13,8191
1951.15,9605
1951.17,9793
1951.19,9662
1951.21,10716
1951.23,9341
1951.25,9717
1951.27,9343
1951.29,7574
1951.31,6608
1951.33,6049
1951.35,5566
1951.37,6140
1951.38,5473
1951.4,5842
1951.42,4829
1951.44,4647
1951.46,3792
1951.48,3458
1951.5,2956
1951.52,2587
1951.54,2053
1951.56,1878
1951.58,1552
1951.6,1421
1951.62,994
1951.63,918
1951.65,715
1951.67,575
1951.69,469
1951.71,385
1951.73,387
1951.75,380
1951.77,388
1951.79,532
1951.81,615
1951.83,653
1951.85,713
1951.87,747
1951.88,809
1951.9,787
1951.92,868
1951.94,846
1951.96,1009
1951.98,914
1952,994
1952.02,1588
1952.04,1379
1952.06,1518
1952.08,1331
1952.09,1481
1952.11,1934
1952.13,2023
1952.15,2497
1952.17,2610
1952.19,3127
1952.21,3008
1952.23,3233
1952.25,3018
1952.26,2871
1952.28,2301
1952.3,2666
1952.32,2596
1952.34,1999
1952.36,1958
1952.38,2338
1952.4,2520
1952.42,2929
1952.43,2814
1952.45,3214
1952.47,2984
1952.49,3245
1952.51,2975
1952.53,3449
1952.55,3069
1952.57,3193
1952.58,3068
1952.6,2948
1952.62,2412
1952.64,1993
1952.66,1493
1952.68,1128
1952.7,847
1952.72,1031
1952.74,1166
1952.75,1683
1952.77,1968
1952.79,2627
1952.81,2945
1952.83,3898
1952.85,3864
1952.87,4355
1952.89,4330
1952.91,5453
1952.92,6015
1952.94,6663
1952.96,7273
1952.98,5389
1953,11593
1953.02,8964
1953.04,7630
1953.06,7183
1953.08,8091
1953.1,9106
1953.12,9114
1953.13,9092
1953.15,8703
1953.17,7729
1953.19,7588
1953.21,7337
1953.23,7401
1953.25,6190
1953.27,6698
1953.29,5654
1953.31,4468
1953.33,3558
1953.35,3037
1953.37,2947
1953.38,2780
1953.4,2387
1953.42,2386
1953.44,2090
1953.46,2301
1953.48,2023
1953.5,1978
1953.52,1433
1953.54,1353
1953.56,1040
1953.58,942
1953.6,712
1953.62,601
1953.63,416
1953.65,315
1953.67,271
1953.69,183
1953.71,140
1953.73,125
1953.75,176
1953.77,164
1953.79,203
1953.81,165
1953.83,225
1953.85,226
1953.87,243
1953.88,231
1953.9,304
1953.92,282
1953.94,282
1953.96,251
1953.98,166
1954,515
1954.02,368
1954.04,439
1954.06,372
1954.08,480
1954.1,544
1954.12,701
1954.13,698
1954.15,764
1954.17,807
1954.19,689
1954.21,695
1954.23,629
1954.25,774
1954.27,896
1954.29,704
1954.31,717
1954.33,649
1954.35,618
1954.37,563
1954.38,643
1954.4,611
1954.42,887
1954.44,867
1954.46,1044
1954.48,887
1954.5,1126
1954.52,1044
1954.54,1241
1954.56,1234
1954.58,1321
1954.6,1093
1954.62,1209
1954.63,940
1954.65,715
1954.67,686
1954.69,493
1954.71,672
1954.73,684
1954.75,908
1954.77,1203
1954.79,1221
1954.81,1615
1954.83,1775
1954.85,2063
1954.87,1889
1954.88,2215
1954.9,2453
1954.92,2840
1954.94,2916
1954.96,2988
1954.98,2534
1955,3877
1955.02,4089
1955.04,3409
1955.06,3020
1955.08,4409
1955.1,5108
1955.12,7315
1955.13,7968
1955.15,9450
1955.17,10686
1955.19,10238
1955.21,11897
1955.23,11813
1955.25,13524
1955.27,11394
1955.29,12499
1955.31,10926
1955.33,8534
1955.35,7277
1955.37,7110
1955.38,7750
1955.4,8254
1955.42,7396
1955.44,8277
1955.46,6457
1955.48,5971
1955.5,4834
1955.52,4409
1955.54,3470
1955.56,3012
1955.58,2571
1955.6,1903
1955.62,1518
1955.63,1125
1955.65,751
1955.67,516
1955.69,294
1955.71,220
1955.73,191
1955.75,267
1955.77,213
1955.79,240
1955.81,292
1955.83,271
1955.85,293
1955.87,270
1955.88,440
1955.9,326
1955.92,476
1955.94,499
1955.96,487
1955.98,484
1956,606
1956.02,684
1956.04,463
1956.06,366
1956.08,485
1956.1,396
1956.12,519
1956.13,530
1956.15,579
1956.17,606
1956.19,538
1956.21,649
1956.23,543
1956.25,636
1956.27,665
1956.29,707
1956.31,497
1956.33,490
1956.35,550
1956.37,653
1956.38,806
1956.4,788
1956.42,1013
1956.44,954
1956.46,1058
1956.48,896
1956.5,1210
1956.52,926
1956.54,1047
1956.56,1016
1956.58,1083
1956.6,982
1956.62,761
1956.63,769
1956.65,654
1956.67,529
1956.69,401
1956.71,359
1956.73,357
1956.75,414
1956.77,528
1956.79,603
1956.81,838
1956.83,889
1956.85,960
1956.87,972
1956.88,1152
1956.9,1330
1956.92,1654
1956.94,1897
1956.96,2299
1956.98,2511
1957,2608
1957.02,4154
1957.04,3770
1957.06,3324
1957.08,3756
1957.1,4901
1957.12,6403
1957.13,7057
1957.15,8280
1957.17,8351
1957.19,8931
1957.21,8849
1957.23,9817
1957.25,8809
1957.27,8788
1957.29,9533
1957.31,7899
1957.33,9241
1957.35,8275
1957.37,6394
1957.38,5813
1957.4,6436
1957.42,6932
1957.44,7124
1957.46,6888
1957.48,7285
1957.5,5227
1957.52,4967
1957.54,3909
1957.56,3714
1957.58,3081
1957.6,2669
1957.62,2072
1957.63,1655
1957.65,1141
1957.67,680
1957.69,510
1957.71,315
1957.73,252
1957.75,222
1957.77,215
1957.79,208
1957.81,226
1957.83,269
1957.85,297
1957.87,371
1957.88,344
1957.9,364
1957.92,388
1957.94,456
1957.96,573
1957.98,485
1958,523
1958.02,971
1958.04,779
1958.06,653
1958.08,686
1958.09,955
1958.11,1159
1958.13,1404
1958.15,1583
1958.17,1458
1958.19,1541
1958.21,1361
1958.23,1589
1958.25,1520
1958.26,1528
1958.28,1852
1958.3,1976
1958.32,1517
1958.34,1296
1958.36,1349
1958.38,1644
1958.4,1916
1958.42,2073
1958.43,2287
1958.45,2005
1958.47,2377
1958.49,2035
1958.51,2190
1958.53,2250
1958.55,2135
1958.57,2082
1958.58,2000
1958.6,1599
1958.62,1445
1958.64,1059
1958.66,857
1958.68,616
1958.7,505
1958.72,480
1958.74,523
1958.75,531
1958.77,751
1958.79,916
1958.81,1043
1958.83,1277
1958.85,1399
1958.87,1597
1958.89,1813
1958.91,2053
1958.92,2527
1958.94,2785
1958.96,2966
1958.98,2404
1959,5538
1959.02,4520
1959.04,3984
1959.06,4082
1959.08,5010
1959.1,6069
1959.12,6713
1959.13,7504
1959.15,7118
1959.17,7034
1959.19,6891
1959.21,6726
1959.23,6572
1959.25,7732
1959.27,7308
1959.29,5795
1959.31,4615
1959.33,4550
1959.35,4790
1959.37,5349
1959.38,4925
1959.4,4990
1959.42,4114
1959.44,3896
1959.46,3168
1959.48,3359
1959.5,2723
1959.52,2454
1959.54,1904
1959.56,1651
1959.58,1387
1959.6,1030
1959.62,959
1959.63,681
1959.65,489
1959.67,309
1959.69,227
1959.71,223
1959.73,197
1959.75,235
1959.77,247
1959.79,214
1959.81,241
1959.83,246
1959.85,305
1959.87,256
1959.88,228
1959.9,299
1959.92,268
1959.94,266
1959.96,261
1959.98,224
1960,376
1960.02,328
1960.04,289
1960.06,270
1960.08,334
1960.1,467
1960.12,491
1960.13,660
1960.15,572
1960.17,756
1960.19,665
1960.21,676
1960.23,608
1960.25,801
1960.27,767
1960.29,728
